Case ID,Case Number,Case Year,Judge,Date Filed,Date Reopened,Reopen Code,Date Terminated,NOS,Cause of Action,Diversity Plaintiff,Diversity Defendant,IsProse,DateAgg
46350,3:20-cv-00728-jdp                       ,20,jdp ,2020-08-05,,1 ,2021-09-22,480,15:1692   ,,,n,2020-08-05
46351,3:20-cv-00729-jdp                       ,20,jdp ,2020-08-06,,1 ,2022-03-25,791,29:1132   ,,,n,2020-08-06
46352,3:20-cv-00730-jdp                       ,20,jdp ,2020-08-06,,1 ,2020-12-04,870,26:7402   ,,,n,2020-08-06
46353,3:20-cv-00731-jdp                       ,20,jdp ,2020-08-06,,1 ,2021-03-03,864,42:0405id ,,,n,2020-08-06
46354,3:20-cv-00732-wmc                       ,20,wmc ,2020-08-06,,1 ,,550,42:1983pr ,,,n,2020-08-06
46357,3:20-cv-00733-jdp                       ,20,jdp ,2020-08-06,,1 ,2020-09-22,480,15:1692   ,,,n,2020-08-06
46358,3:20-cv-00734-wmc                       ,20,wmc ,2020-08-06,,1 ,2020-11-24,480,15:1692   ,,,n,2020-08-06
46359,3:20-cv-00735-jdp                       ,20,jdp ,2020-08-07,,1 ,2021-05-18,864,42:0405id ,,,n,2020-08-07
46360,3:20-cv-00736-wmc                       ,20,wmc ,2020-08-07,,1 ,,550,42:1983pr ,,,y,2020-08-07
46361,3:20-cv-00737-jdp                       ,20,jdp ,2020-08-07,,1 ,2022-10-18,791,29:1132   ,,,n,2020-08-07
46364,3:20-cv-00738-jdp                       ,20,jdp ,2020-08-07,,1 ,2020-08-20,480,15:1692   ,,,n,2020-08-07
46367,3:20-cv-00739-wmc                       ,20,wmc ,2020-08-10,,1 ,2021-04-05,550,42:1983pr ,,,y,2020-08-10
46368,3:20-cv-00740-wmc                       ,20,wmc ,2020-08-10,,1 ,2022-12-13,550,42:1983pr ,,,y,2020-08-10
46369,3:20-cv-00741-wmc                       ,20,wmc ,2020-08-10,,1 ,2023-02-13,550,42:1983pr ,,,y,2020-08-10
46370,3:20-cv-00742-wmc                       ,20,wmc ,2020-08-10,,1 ,2023-01-27,550,42:1983pr ,,,y,2020-08-10
46374,3:20-cv-00743-bbc                       ,20,bbc ,2020-08-10,,1 ,2021-11-03,440,42:1983cv ,,,y,2020-08-10
46379,3:20-cv-00748-bbc                       ,20,bbc ,2020-08-10,,1 ,2020-09-29,550,42:1983pr ,,,y,2020-08-10
46384,3:20-cv-00751-wmc                       ,20,wmc ,2020-08-10,,1 ,,510,28:2255   ,,,y,2020-08-10
46375,3:20-cv-00744-jdp                       ,20,jdp ,2020-08-11,,1 ,2021-02-18,864,42:0405id ,,,n,2020-08-11
46376,3:20-cv-00745-wmc                       ,20,wmc ,2020-08-11,,1 ,2020-10-26,446,42:12101  ,,,n,2020-08-11
46377,3:20-cv-00746-wmc                       ,20,wmc ,2020-08-11,,1 ,2020-11-06,720,29:1132   ,,,n,2020-08-11
46378,3:20-cv-00747-wmc                       ,20,wmc ,2020-08-11,,1 ,2022-07-18,446,42:12101  ,,,n,2020-08-11
46382,3:20-cv-00749-jdp                       ,20,jdp ,2020-08-11,,1 ,2021-05-14,350,28:1332au ,2,5,n,2020-08-11
46383,3:20-cv-00750-jdp                       ,20,jdp ,2020-08-12,,1 ,2020-11-09,152,42:0292   ,,,n,2020-08-12
46385,3:20-cv-00752-bbc                       ,20,bbc ,2020-08-12,,1 ,2021-11-17,865,42:0402   ,,,n,2020-08-12
46386,3:20-cv-00753-wmc                       ,20,wmc ,2020-08-12,,1 ,2022-09-13,865,42:0402   ,,,n,2020-08-12
46387,3:20-cv-00727-jdp                       ,20,jdp ,2020-08-12,,1 ,2020-11-25,480,15:1692   ,,,n,2020-08-12
46388,3:20-cv-00754-jdp                       ,20,jdp ,2020-08-12,,1 ,2022-03-16,190,28:1332fd ,1,2,n,2020-08-12
46392,3:20-cv-00757-wmc                       ,20,wmc ,2020-08-12,,1 ,2021-02-09,480,15:1692   ,,,n,2020-08-12
46389,3:20-cv-00755-jdp                       ,20,jdp ,2020-08-12,,5 ,2020-08-21,380,28:1441nr ,1,2,n,2020-08-12
46390,3:20-cv-00756-jdp                       ,20,jdp ,2020-08-12,,5 ,2020-08-21,840,28:2201dj ,,,n,2020-08-12
46395,3:20-cv-00758-wmc                       ,20,wmc ,2020-08-12,,2 ,2021-11-19,440,42:1983cv ,,,n,2020-08-12
46396,3:20-cv-00759-wmc                       ,20,wmc ,2020-08-12,,2 ,2021-08-13,190,28:1332jd ,4,5,n,2020-08-12
46398,3:20-cv-00760-slc                       ,20,slc ,2020-08-13,,1 ,2020-09-29,480,15:1692   ,,,n,2020-08-13
46399,3:20-cv-00761-slc                       ,20,slc ,2020-08-13,,1 ,2020-11-20,440,28:1983   ,,,n,2020-08-13
46400,3:20-cv-00762-jdp                       ,20,jdp ,2020-08-13,2021-02-23,4 ,2022-08-30,550,42:1983pr ,,,y,2021-02-23
46400,3:20-cv-00762-jdp                       ,20,jdp ,2020-08-13,2021-02-23,4 ,2022-08-30,550,42:1983pr ,,,y,2021-02-23
46403,3:20-cv-00763-slc                       ,20,slc ,2020-08-13,,1 ,2022-05-05,350,28:1332au ,2,1,n,2020-08-13
46410,3:20-cv-00764-wmc                       ,20,wmc ,2020-08-18,,1 ,2021-11-04,550,42:1983pr ,,,y,2020-08-18
46411,3:20-cv-00765-slc                       ,20,slc ,2020-08-18,,1 ,2021-08-17,864,42:0405id ,,,n,2020-08-18
46414,3:20-cv-00766-jdp                       ,20,jdp ,2020-08-19,,5 ,2021-04-21,365,28:1332pl ,2,5,n,2020-08-19
46415,3:20-cv-00767-jdp                       ,20,jdp ,2020-08-19,,1 ,2021-03-12,375,31:3729   ,,,n,2020-08-19
46438,3:20-cv-00768-jdp                       ,20,jdp ,2020-08-20,2016-05-04,5 ,2023-01-13,441,42:1983cv ,,,n,2020-08-20
46439,3:20-cv-00769-jdp                       ,20,jdp ,2020-08-20,,1 ,2020-10-16,480,15:1692   ,,,n,2020-08-20
