Case ID,Case Number,Case Year,Judge,Date Filed,Date Reopened,Reopen Code,Date Terminated,NOS,Cause of Action,Diversity Plaintiff,Diversity Defendant,IsProse,DateAgg
47649,3:21-cv-00312-wmc                       ,21,wmc ,2021-05-07,,5 ,2021-06-07,365,28:1332pl ,2,5,n,2021-05-07
47650,3:21-cv-00313-jdp                       ,21,jdp ,2021-05-10,,1 ,2021-09-14,550,42:1983pr ,,,y,2021-05-10
47652,3:21-cv-00314-wmc                       ,21,wmc ,2021-05-10,,1 ,2022-01-03,442,42:2000sx ,,,n,2021-05-10
47653,3:21-cv-00315-jdp                       ,21,jdp ,2021-05-10,,1 ,2022-04-05,440,42:1983cv ,,,n,2021-05-10
47654,3:21-cv-00316-wmc                       ,21,wmc ,2021-05-10,,1 ,2022-12-02,550,42:1983pr ,,,y,2021-05-10
47655,3:21-cv-00318-wmc                       ,21,wmc ,2021-05-10,,1 ,,550,42:1983pr ,,,y,2021-05-10
47656,3:21-cv-00317-jdp                       ,21,jdp ,2021-05-10,,1 ,2021-08-26,440,28:1983   ,,,y,2021-05-10
47657,3:21-cv-00319-jdp                       ,21,jdp ,2021-05-11,,1 ,2021-12-06,480,15:1692   ,,,n,2021-05-11
47658,3:21-cv-00321-jdp                       ,21,jdp ,2021-05-12,,1 ,2021-07-30,550,42:1983pr ,,,y,2021-05-12
47659,3:21-cv-00322-jdp                       ,21,jdp ,2021-05-12,,1 ,2022-01-28,480,15:1692   ,,,n,2021-05-12
47662,3:21-cv-00320-wmc                       ,21,wmc ,2021-05-12,,1 ,2023-05-10,440,28:1332jd ,1,5,y,2021-05-12
47663,3:21-cv-00323-slc                       ,21,slc ,2021-05-12,,2 ,2021-05-26,190,28:1332ds ,4,5,n,2021-05-12
47676,3:21-cv-00324-jdp                       ,21,jdp ,2021-05-13,,1 ,2022-12-13,445,42:1983ed ,,,y,2021-05-13
47677,3:21-cv-00325-jdp                       ,21,jdp ,2021-05-14,,1 ,2022-02-11,530,28:2254   ,,,y,2021-05-14
47678,3:21-cv-00326-bbc                       ,21,bbc ,2021-05-14,,1 ,2022-02-08,442,42:2000e  ,,,n,2021-05-14
47679,3:21-cv-00327-slc                       ,21,slc ,2021-05-14,,1 ,2022-02-11,865,42:0402   ,,,n,2021-05-14
47682,3:21-cv-00328-jdp                       ,21,jdp ,2021-05-17,,1 ,2022-09-13,865,42:0405id ,,,n,2021-05-17
47683,3:21-cv-00330-jdp                       ,21,jdp ,2021-05-17,,1 ,2022-03-11,550,42:1983pr ,,,y,2021-05-17
47684,3:21-cv-00329-jdp                       ,21,jdp ,2021-05-17,,1 ,2022-11-22,550,42:1983pr ,,,y,2021-05-17
47685,3:21-cv-00331-wmc                       ,21,wmc ,2021-05-17,,1 ,,550,42:1983pr ,,,y,2021-05-17
47686,3:21-cv-00332-jdp                       ,21,jdp ,2021-05-17,,1 ,2022-08-12,864,42:0405id ,,,n,2021-05-17
47687,3:21-cv-00333-jdp                       ,21,jdp ,2021-05-17,,1 ,2021-07-01,550,42:1983pr ,,,y,2021-05-17
47689,3:21-cv-00334-jdp                       ,21,jdp ,2021-05-18,,1 ,2021-06-08,550,42:1983pr ,,,y,2021-05-18
47690,3:21-cv-00335-wmc                       ,21,wmc ,2021-05-18,,1 ,2022-11-07,555,42:1983pr ,,,y,2021-05-18
47693,3:21-cv-00336-jdp                       ,21,jdp ,2021-05-18,,1 ,2021-11-09,864,42:0405id ,,,n,2021-05-18
47694,3:21-cv-00337-wmc                       ,21,wmc ,2021-05-19,,1 ,2023-05-23,710,29:0206   ,,,n,2021-05-19
47695,3:21-cv-00340-jdp                       ,21,jdp ,2021-05-19,,1 ,2021-08-24,480,15:1692   ,,,n,2021-05-19
47696,3:21-cv-00341-wmc                       ,21,wmc ,2021-05-19,,1 ,2023-05-26,550,42:1983pr ,,,y,2021-05-19
47697,3:21-cv-00342-jdp                       ,21,jdp ,2021-05-19,,1 ,2022-09-08,863,42:0405wc ,,,n,2021-05-19
47698,3:21-cv-00338-wmc                       ,21,wmc ,2021-05-19,,1 ,2021-05-21,530,28:2254   ,,,y,2021-05-19
47699,3:21-cv-00339-wmc                       ,21,wmc ,2021-05-19,,1 ,2021-08-09,530,28:2254   ,,,y,2021-05-19
47701,3:21-cv-00343-wmc                       ,21,wmc ,2021-05-19,,2 ,2022-03-01,310,28:1332al ,2,5,n,2021-05-19
47702,3:21-cv-00344-wmc                       ,21,wmc ,2021-05-19,,2 ,2022-09-08,310,28:1332al ,1,5,n,2021-05-19
47703,3:21-cv-00345-jdp                       ,21,jdp ,2021-05-19,,2 ,2022-11-09,320,28:1332ct ,1,2,n,2021-05-19
47704,3:21-cv-00346-jdp                       ,21,jdp ,2021-05-20,,1 ,,550,42:1983pr ,,,y,2021-05-20
47705,3:21-cv-00347-jdp                       ,21,jdp ,2021-05-20,,1 ,,550,42:1983pr ,,,y,2021-05-20
47706,3:21-cv-00348-wmc                       ,21,wmc ,2021-05-21,,1 ,2022-03-30,550,42:1983pr ,,,y,2021-05-21
47711,3:21-cv-00351-wmc                       ,21,wmc ,2021-05-24,,1 ,2022-02-01,480,15:1692   ,,,n,2021-05-24
47712,3:21-cv-00350-bbc                       ,21,bbc ,2021-05-24,,1 ,2022-09-30,550,42:1983pr ,,,y,2021-05-24
47713,3:21-cv-00352-jdp                       ,21,jdp ,2021-05-24,,1 ,2021-07-06,864,42:0405id ,,,n,2021-05-24
47710,3:21-cv-00349-jdp                       ,21,jdp ,2021-05-24,,5 ,2022-04-06,190,28:1441pr ,1,2,n,2021-05-24
47714,3:21-cv-00353-jdp                       ,21,jdp ,2021-05-25,,1 ,2021-07-01,480,15:1692   ,,,n,2021-05-25
47719,3:21-cv-00354-wmc                       ,21,wmc ,2021-05-25,,2 ,2021-08-31,190,28:1332pr ,1,5,n,2021-05-25
47721,3:21-cv-00355-jdp                       ,21,jdp ,2021-05-27,,1 ,2022-09-08,865,42:0405id ,,,n,2021-05-27
47735,3:21-cv-00356-jdp                       ,21,jdp ,2021-05-27,,1 ,2022-05-05,710,15:1938   ,,,n,2021-05-27
47739,3:21-cv-00358-wmc                       ,21,wmc ,2021-05-28,,1 ,2022-02-25,864,42:0405id ,,,n,2021-05-28
47740,3:21-cv-00360-wmc                       ,21,wmc ,2021-06-01,,1 ,2021-07-08,820,17:0501   ,,,n,2021-06-01
47741,3:21-cv-00357-jdp                       ,21,jdp ,2021-06-01,,1 ,2021-09-29,480,15:1692   ,,,n,2021-06-01
47742,3:21-cv-00361-jdp                       ,21,jdp ,2021-06-01,,1 ,2021-11-10,550,42:1983pr ,,,y,2021-06-01
47743,3:21-cv-00362-jdp                       ,21,jdp ,2021-06-01,,1 ,2022-03-01,440,42:1983ed ,,,n,2021-06-01
47744,3:21-cv-00359-bbc                       ,21,bbc ,2021-06-01,,1 ,2021-08-18,530,28:2254   ,,,y,2021-06-01
47745,3:21-cv-00363-bbc                       ,21,bbc ,2021-06-01,,1 ,2021-07-14,530,28:2254   ,,,y,2021-06-01
47746,3:21-cv-00364-jdp                       ,21,jdp ,2021-06-02,,1 ,2022-09-13,864,42:0405id ,,,n,2021-06-02
47747,3:21-cv-00365-wmc                       ,21,wmc ,2021-06-02,,1 ,2022-12-29,330,45:0051   ,,,n,2021-06-02
47748,3:21-cv-00366-jdp                       ,21,jdp ,2021-06-02,,2 ,2022-07-06,440,28:1983   ,,,n,2021-06-02
47749,3:21-cv-00367-slc                       ,21,slc ,2021-06-02,,1 ,2022-09-12,865,42:0402   ,,,n,2021-06-02
47750,3:21-cv-00368-jdp                       ,21,jdp ,2021-06-02,,1 ,2023-03-10,190,28:1332bc ,5,4,n,2021-06-02
47751,3:21-cv-00369-jdp                       ,21,jdp ,2021-06-03,,1 ,2023-03-30,550,42:1983pr ,,,y,2021-06-03
47752,3:21-cv-00370-wmc                       ,21,wmc ,2021-06-04,,1 ,2021-07-28,880,18:1836a  ,1,2,y,2021-06-04
47753,3:21-cv-00371-wmc                       ,21,wmc ,2021-06-04,,1 ,2021-08-09,550,42:1983pr ,,,y,2021-06-04
47754,3:21-cv-00372-jdp                       ,21,jdp ,2021-06-04,,1 ,2022-05-13,480,15:1681   ,,,n,2021-06-04
47755,3:21-cv-00373-wmc                       ,21,wmc ,2021-06-04,2023-01-18,4 ,2023-03-29,550,42:1983pr ,,,y,2023-01-18
47755,3:21-cv-00373-wmc                       ,21,wmc ,2021-06-04,2023-01-18,4 ,2023-03-29,550,42:1983pr ,,,y,2023-01-18
47756,3:21-cv-00376-jdp                       ,21,jdp ,2021-06-04,,1 ,2021-09-17,485,47:227    ,1,5,n,2021-06-04
