Case ID,Case Number,Case Year,Judge,Date Filed,Date Reopened,Reopen Code,Date Terminated,NOS,Cause of Action,Diversity Plaintiff,Diversity Defendant,IsProse,DateAgg
48004,3:21-cv-00495-bbc                       ,21,bbc ,2021-08-09,,1 ,2022-06-27,445,42:12101  ,,,n,2021-08-09
48005,3:21-cv-00496-bbc                       ,21,bbc ,2021-08-09,,1 ,2021-09-24,550,42:1983pr ,,,y,2021-08-09
48006,3:21-cv-00497-wmc                       ,21,wmc ,2021-08-09,,1 ,2022-01-28,550,42:1983pr ,,,y,2021-08-09
48007,3:21-cv-00498-jdp                       ,21,jdp ,2021-08-09,2021-07-13,5 ,,530,28:2254   ,,,y,2021-08-09
48010,3:21-cv-00499-wmc                       ,21,wmc ,2021-08-10,,1 ,2023-03-13,550,42:1983pr ,,,y,2021-08-10
48011,3:21-cv-00500-wmc                       ,21,wmc ,2021-08-10,,1 ,2022-02-16,550,42:1983pr ,,,y,2021-08-10
48012,3:21-cv-00501-jdp                       ,21,jdp ,2021-08-10,,1 ,2022-06-01,710,29:0201fl ,,,n,2021-08-10
48013,3:21-cv-00502-wmc                       ,21,wmc ,2021-08-10,,1 ,2023-03-13,550,42:1983pr ,,,y,2021-08-10
48014,3:21-cv-00503-wmc                       ,21,wmc ,2021-08-10,,1 ,2023-04-04,440,28:1983   ,,,y,2021-08-10
48017,3:21-cv-00504-wmc                       ,21,wmc ,2021-08-10,,1 ,2022-08-31,442,42:2000e  ,,,n,2021-08-10
48018,3:21-cv-00505-jdp                       ,21,jdp ,2021-08-10,,1 ,2022-09-21,380,28:1332tn ,4,5,n,2021-08-10
48019,3:21-cv-00506-wmc                       ,21,wmc ,2021-08-11,,1 ,2022-11-14,864,42:0405id ,,,n,2021-08-11
48020,3:21-cv-00507-jdp                       ,21,jdp ,2021-08-11,,1 ,2022-12-21,365,28:1332pl ,1,2,n,2021-08-11
48036,3:21-cv-00508-wmc                       ,21,wmc ,2021-08-12,,2 ,2021-09-17,365,28:1332pl ,1,5,n,2021-08-12
48037,3:21-cv-00509-wmc                       ,21,wmc ,2021-08-12,,1 ,,550,42:1983pr ,,,y,2021-08-12
48040,3:21-cv-00510-wmc                       ,21,wmc ,2021-08-12,,1 ,2021-12-17,190,28:1332oc ,2,1,n,2021-08-12
48041,3:21-cv-00511-bbc                       ,21,bbc ,2021-08-12,,1 ,2022-08-16,864,42:0402   ,,,n,2021-08-12
48042,3:21-cv-00512-jdp-ajs-eec               ,21,jdp ,2021-08-13,,1 ,2022-05-05,400,42:1983cv ,,,n,2021-08-13
48043,3:21-cv-00513-wmc                       ,21,wmc ,2021-08-16,,1 ,2022-03-21,840,15:1051   ,,,n,2021-08-16
48044,3:21-cv-00514-wmc                       ,21,wmc ,2021-08-16,,1 ,2023-03-13,550,42:1983pr ,,,y,2021-08-16
48045,3:21-cv-00515-wmc                       ,21,wmc ,2021-08-16,,1 ,2023-03-13,550,42:1983pr ,,,y,2021-08-16
48046,3:21-cv-00516-jdp                       ,21,jdp ,2021-08-16,,1 ,2021-12-01,550,42:1983pr ,,,y,2021-08-16
48047,3:21-cv-00517-jdp                       ,21,jdp ,2021-08-17,,1 ,2022-11-23,422,28:1334   ,,,n,2021-08-17
