de_caseid,de_seqno,de_type,de_document_num,dp_type,dp_sub_type,dp_seqno,de_date_filed,de_date_enter,de_who_entered,initials,name,pr_type,pr_crttype
48493,62,oth_ord                  ,14,order                    ,leave   ,63,2022-09-15,2022-09-15T10:15:56,829931,jls ,Jaime Smith,crt,oth
48494,66,prose                    ,16,order                    ,leave   ,67,2022-09-15,2022-09-15T10:25:02,1353789,rks ,Rachel Swanson,crt,clk
43832,111,oth_ord                  ,35,order                    ,leave   ,112,2022-09-29,2022-09-29T11:14:54,20284,jat ,Jennifer Titak,crt,oth
48274,54,prose                    ,10,order                    ,leave   ,55,2022-10-04,2022-10-04T12:28:58,1353789,rks ,Rachel Swanson,crt,clk
45540,68,oth_ord                  ,15,order                    ,leave   ,69,2022-10-04,2022-10-04T14:31:53,20284,jat ,Jennifer Titak,crt,oth
47046,35,oth_ord                  ,6,order                    ,leave   ,38,2022-10-06,2022-10-06T12:58:44,20284,jat ,Jennifer Titak,crt,oth
45425,334,oth_ord                  ,84,order                    ,leave   ,335,2022-10-11,2022-10-11T15:10:34,829931,jls ,Jaime Smith,crt,oth
49072,63,oth_ord                  ,12,order                    ,leave   ,64,2022-10-12,2022-10-12T15:24:47,829931,jls ,Jaime Smith,crt,oth
47846,213,prose                    ,32,order                    ,leave   ,214,2022-10-20,2022-10-20T16:00:27,1353789,rks ,Rachel Swanson,crt,clk
47294,87,oth_ord                  ,21,order                    ,leave   ,88,2022-10-21,2022-10-21T10:34:46,829931,jls ,Jaime Smith,crt,oth
46464,76,oth_ord                  ,17,order                    ,leave   ,77,2022-10-24,2022-10-24T15:58:58,20284,jat ,Jennifer Titak,crt,oth
47751,291,oth_ord                  ,84,order                    ,leave   ,292,2022-10-25,2022-10-25T14:42:56,20284,jat ,Jennifer Titak,crt,oth
46368,60,oth_ord                  ,14,order                    ,leave   ,62,2022-10-27,2022-10-27T12:29:38,20284,jat ,Jennifer Titak,crt,oth
45848,91,prose                    ,24,order                    ,leave   ,92,2022-10-28,2022-10-28T12:36:28,19,voc ,Vivian Olmo,crt,clk
46524,64,prose                    ,12,order                    ,leave   ,65,2022-10-28,2022-10-28T12:55:19,19,voc ,Vivian Olmo,crt,clk
47203,97,prose                    ,13,order                    ,leave   ,98,2022-11-04,2022-11-04T16:20:53,1353789,rks ,Rachel Swanson,crt,clk
48372,68,oth_ord                  ,11,order                    ,leave   ,69,2022-11-07,2022-11-07T08:12:35,829931,jls ,Jaime Smith,crt,oth
48386,44,oth_ord                  ,12,order                    ,leave   ,45,2022-11-07,2022-11-07T10:50:54,829931,jls ,Jaime Smith,crt,oth
49195,45,prose                    ,9,order                    ,leave   ,46,2022-11-18,2022-11-18T12:05:13,1602783,acd ,Aaron Dean,crt,clk
46370,78,oth_ord                  ,13,order                    ,leave   ,79,2022-11-23,2022-11-23T08:59:39,829931,jls ,Jaime Smith,crt,oth
48498,27,prose                    ,4,order                    ,leave   ,28,2022-11-23,2022-11-23T10:23:43,1353789,rks ,Rachel Swanson,crt,clk
47312,37,prose                    ,6,order                    ,leave   ,38,2022-11-23,2022-11-23T11:39:59,1602783,acd ,Aaron Dean,crt,clk
48353,25,prose                    ,3,order                    ,leave   ,26,2022-12-02,2022-12-02T15:19:08,19,voc ,Vivian Olmo,crt,clk
46644,49,prose                    ,11,order                    ,leave   ,50,2022-12-02,2022-12-02T16:09:20,1602783,acd ,Aaron Dean,crt,clk
47810,39,prose                    ,7,order                    ,leave   ,40,2022-12-06,2022-12-06T15:03:31,19,voc ,Vivian Olmo,crt,clk
48302,90,oth_ord                  ,19,order                    ,leave   ,92,2022-12-07,2022-12-07T15:49:03,20284,jat ,Jennifer Titak,crt,oth
48529,55,prose                    ,10,order                    ,leave   ,56,2022-12-13,2022-12-13T16:07:11,19,voc ,Vivian Olmo,crt,clk
48126,102,prose                    ,15,order                    ,leave   ,103,2022-12-21,2022-12-21T15:35:09,1353789,rks ,Rachel Swanson,crt,clk
48794,85,oth_ord                  ,9,order                    ,leave   ,86,2022-12-27,2022-12-27T14:35:01,829931,jls ,Jaime Smith,crt,oth
47094,58,prose                    ,14,order                    ,leave   ,59,2022-12-29,2022-12-29T12:28:31,19,voc ,Vivian Olmo,crt,clk
46334,66,prose                    ,19,order                    ,leave   ,67,2022-12-29,2022-12-29T12:44:26,19,voc ,Vivian Olmo,crt,clk
48516,224,oth_ord                  ,64,order                    ,leave   ,225,2023-01-05,2023-01-05T15:27:04,20284,jat ,Jennifer Titak,crt,oth
48529,79,prose                    ,15,order                    ,leave   ,80,2023-01-05,2023-01-05T16:27:25,19,voc ,Vivian Olmo,crt,clk
46348,125,prose                    ,26,order                    ,leave   ,126,2023-01-06,2023-01-06T15:00:50,1353789,rks ,Rachel Swanson,crt,clk
48163,101,oth_ord                  ,27,order                    ,leave   ,102,2023-01-12,2023-01-12T14:01:51,829931,jls ,Jaime Smith,crt,oth
48405,42,oth_ord                  ,7,order                    ,leave   ,43,2023-01-20,2023-01-20T14:16:50,829931,jls ,Jaime Smith,crt,oth
48232,83,prose                    ,16,order                    ,leave   ,84,2023-01-20,2023-01-20T14:33:07,1353789,rks ,Rachel Swanson,crt,clk
49079,33,oth_ord                  ,7,order                    ,leave   ,34,2023-01-23,2023-01-23T13:29:24,20284,jat ,Jennifer Titak,crt,oth
47705,161,prose                    ,17,order                    ,leave   ,162,2023-01-31,2023-01-31T16:38:07,1602783,acd ,Aaron Dean,crt,clk
48884,94,prose                    ,17,order                    ,leave   ,95,2023-02-03,2023-02-03T11:26:30,1353789,rks ,Rachel Swanson,crt,clk
46369,83,prose                    ,14,order                    ,leave   ,84,2023-02-03,2023-02-03T14:28:21,24419,jef ,Joanne Friedl,crt,clk
48531,66,prose                    ,11,order                    ,leave   ,67,2023-02-10,2023-02-10T16:13:15,19,voc ,Vivian Olmo,crt,clk
46844,42,prose                    ,6,order                    ,leave   ,43,2023-02-13,2023-02-13T12:30:48,24419,jef ,Joanne Friedl,crt,clk
48849,37,prose                    ,8,order                    ,leave   ,38,2023-02-22,2023-02-22T08:58:13,1353789,rks ,Rachel Swanson,crt,clk
48898,57,prose                    ,12,order                    ,leave   ,58,2023-02-22,2023-02-22T13:47:30,1602783,acd ,Aaron Dean,crt,clk
46895,73,prose                    ,14,order                    ,leave   ,74,2023-03-13,2023-03-13T14:12:37,24419,jef ,Joanne Friedl,crt,clk
