Case ID,Case Number,Judge,Date Filed,Date Reopened,Date Terminated,NOS,Cause of Action,Diversity Plaintiff,Diversity Defendant,IsProse,DateAgg,Group
48154,3:21-cv-00570-wmc                       ,wmc ,2021-09-13,,2022-09-29,864,42:0405id ,,,y,2021-09-13,Social Security
48155,3:21-cv-00571-jdp                       ,jdp ,2021-09-13,,2023-02-21,365,28:1332pl ,1,5,n,2021-09-13,Torts/Personal Injury
48158,3:21-cv-00572-wmc                       ,wmc ,2021-09-13,,2022-03-24,480,15:1681   ,,,n,2021-09-13,Other Statutes
48162,3:21-cv-00573-jdp                       ,jdp ,2021-09-13,,2021-10-14,550,42:1983pr ,,,y,2021-09-13,Prisoner Petitions
48163,3:21-cv-00574-wmc                       ,wmc ,2021-09-13,,,550,42:1983pr ,,,y,2021-09-13,Prisoner Petitions
48164,3:21-cv-00576-jdp                       ,jdp ,2021-09-13,,2021-12-20,710,29:0201do ,,,n,2021-09-13,Labor
48165,3:21-cv-00575-wmc                       ,wmc ,2021-09-13,,,550,42:1983pr ,,,n,2021-09-13,Prisoner Petitions
48167,3:21-cv-00578-wmc                       ,wmc ,2021-09-13,,2021-11-24,510,28:2255   ,,,y,2021-09-13,Habeas Corpus
48166,3:21-cv-00577-jdp                       ,jdp ,2021-09-14,,2022-01-11,710,29:0206   ,,,n,2021-09-14,Labor
48168,3:21-cv-00579-jdp                       ,jdp ,2021-09-14,,2022-06-08,442,42:2000e  ,,,n,2021-09-14,Civil Rights
48169,3:21-cv-00580-jdp                       ,jdp ,2021-09-14,,,791,29:1132   ,,,n,2021-09-14,Labor
48170,3:21-cv-00581-wmc                       ,wmc ,2021-09-15,,2021-10-06,195,28:1441pl ,,,n,2021-09-15,Contract
48171,3:21-cv-00582-bbc                       ,bbc ,2021-09-15,,2021-11-12,550,42:1983pr ,,,y,2021-09-15,Prisoner Petitions
48172,3:21-cv-00583-slc                       ,slc ,2021-09-15,,2022-11-09,110,28:1332bc ,1,5,n,2021-09-15,﻿Contract
48173,3:21-cv-00584-jdp                       ,jdp ,2021-09-15,,2022-03-17,480,15:1681   ,,,n,2021-09-15,Other Statutes
48177,3:21-cv-00585-wmc                       ,wmc ,2021-09-16,,2022-03-14,445,42:12101  ,,,n,2021-09-16,Civil Rights
48178,3:21-cv-00586-jdp                       ,jdp ,2021-09-16,,2022-06-27,791,29:1132   ,,,n,2021-09-16,Labor
48179,3:21-cv-00587-jdp                       ,jdp ,2021-09-16,,2022-12-02,530,28:2241   ,,,n,2021-09-16,Habeas Corpus
48180,3:21-cv-00588-jdp                       ,jdp ,2021-09-16,,2022-07-12,550,42:1983pr ,,,y,2021-09-16,Prisoner Petitions
48181,3:21-cv-00589-wmc                       ,wmc ,2021-09-16,,2021-11-09,190,28:1332oc ,4,5,n,2021-09-16,Contract
48184,3:21-cv-00590-jdp                       ,jdp ,2021-09-16,,2022-01-27,550,42:1983pr ,,,y,2021-09-16,Prisoner Petitions
48185,3:21-cv-00591-wmc                       ,wmc ,2021-09-17,,2022-07-05,550,42:1983pr ,,,y,2021-09-17,Prisoner Petitions
48188,3:21-cv-00592-wmc                       ,wmc ,2021-09-17,,,791,29:1132   ,,,n,2021-09-17,Labor
48189,3:21-cv-00593-wmc                       ,wmc ,2021-09-20,,,550,42:1983pr ,,,n,2021-09-20,Prisoner Petitions
48190,3:21-cv-00594-jdp                       ,jdp ,2021-09-20,,2022-05-19,465,05:0702   ,,,n,2021-09-20,Immigration
48192,3:21-cv-00595-wmc                       ,wmc ,2021-09-20,,,510,28:2255   ,,,y,2021-09-20,Habeas Corpus
48196,3:21-cv-00597-jdp                       ,jdp ,2021-09-21,,2022-04-26,893,28:1362ic ,,,n,2021-09-21,Other Statutes
48197,3:21-cv-00596-wmc                       ,wmc ,2021-09-21,,2021-11-24,480,15:1692   ,,,n,2021-09-21,Other Statutes
48200,3:21-cv-00598-jdp                       ,jdp ,2021-09-22,2022-01-10,2022-08-03,550,42:1983pr ,,,y,2022-01-10,Prisoner Petitions
48200,3:21-cv-00598-jdp                       ,jdp ,2021-09-22,2022-01-10,2022-08-03,550,42:1983pr ,,,y,2022-01-10,Prisoner Petitions
48204,3:21-cv-00599-jdp                       ,jdp ,2021-09-22,,2022-08-16,110,28:1332in ,1,5,n,2021-09-22,﻿Contract
48218,3:21-cv-00600-wmc                       ,wmc ,2021-09-22,,2022-07-27,530,28:2254   ,,,y,2021-09-22,Habeas Corpus
48225,3:21-cv-00601-jdp                       ,jdp ,2021-09-23,,2021-11-18,850,15:0077   ,,,n,2021-09-23,Other Statutes
48226,3:21-cv-00602-wmc                       ,wmc ,2021-09-23,,2022-09-30,880,18:1836a  ,,,y,2021-09-23,
48229,3:21-cv-00603-jdp                       ,jdp ,2021-09-24,,2022-10-07,440,42:1983cv ,,,n,2021-09-24,Civil Rights
48230,3:21-cv-00604-wmc                       ,wmc ,2021-09-24,,2021-12-17,864,42:0405id ,,,n,2021-09-24,Social Security
48231,3:21-cv-00605-wmc                       ,wmc ,2021-09-24,,2021-11-12,485,47:227    ,,,n,2021-09-24,
48232,3:21-cv-00606-wmc                       ,wmc ,2021-09-24,2021-11-30,,550,42:1983pr ,,,y,2021-11-30,Prisoner Petitions
48232,3:21-cv-00606-wmc                       ,wmc ,2021-09-24,2021-11-30,,550,42:1983pr ,,,y,2021-11-30,Prisoner Petitions
48236,3:21-cv-00610-jdp                       ,jdp ,2021-09-24,,2021-10-25,550,42:1983pr ,,,y,2021-09-24,Prisoner Petitions
48233,3:21-cv-00607-wmc                       ,wmc ,2021-09-27,,2021-11-24,485,47:227    ,,,n,2021-09-27,
48234,3:21-cv-00608-slc                       ,slc ,2021-09-27,,2023-05-08,446,29:1132   ,,,n,2021-09-27,Civil Rights
48235,3:21-cv-00609-wmc                       ,wmc ,2021-09-27,,2022-12-01,530,28:2254   ,,,y,2021-09-27,Habeas Corpus
48237,3:21-cv-00611-jdp                       ,jdp ,2021-09-28,,2023-04-26,440,42:1981jb ,,,n,2021-09-28,Civil Rights
48238,3:21-cv-00612-slc                       ,slc ,2021-09-28,,2021-10-28,480,15:1692   ,,,n,2021-09-28,Other Statutes
48239,3:21-cv-00613-wmc                       ,wmc ,2021-09-28,,2021-11-23,840,15:1125   ,,,n,2021-09-28,Property Rights
48240,3:21-cv-00614-jdp                       ,jdp ,2021-09-28,,2022-12-13,190,15:2301   ,,,n,2021-09-28,Contract
48241,3:21-cv-00615-jdp                       ,jdp ,2021-09-29,,2022-05-02,385,28:1332pl ,4,5,n,2021-09-29,Personal Property
48242,3:21-cv-00616-wmc                       ,wmc ,2021-09-29,,2021-12-02,550,42:1983pr ,,,y,2021-09-29,Prisoner Petitions
48243,3:21-cv-00617-wmc                       ,wmc ,2021-09-29,,2022-02-14,480,15:1692   ,,,n,2021-09-29,Other Statutes
48245,3:21-cv-00618-wmc                       ,wmc ,2021-09-30,,2021-12-09,190,28:2201dj ,2,1,n,2021-09-30,Contract
48246,3:21-cv-00619-wmc                       ,wmc ,2021-10-01,,2022-07-28,480,15:1692   ,,,n,2021-10-01,Other Statutes
48247,3:21-cv-00620-jdp                       ,jdp ,2021-10-01,,2022-02-22,550,42:1983pr ,,,y,2021-10-01,Prisoner Petitions
48248,3:21-cv-00621-jdp                       ,jdp ,2021-10-01,,2022-09-16,110,28:1332bc ,1,5,n,2021-10-01,﻿Contract
48250,3:21-cv-00622-jdp                       ,jdp ,2021-10-04,,,190,28:1332ss ,4,5,n,2021-10-04,Contract
48251,3:21-cv-00623-wmc                       ,wmc ,2021-10-04,,2022-02-16,110,28:1441in ,1,5,n,2021-10-04,﻿Contract
48254,3:21-cv-00626-jdp                       ,jdp ,2021-10-04,,2023-04-04,440,42:1983cv ,,,y,2021-10-04,Civil Rights
48256,3:21-cv-00628-wmc                       ,wmc ,2021-10-04,,2022-02-16,440,42:1983cv ,,,y,2021-10-04,Civil Rights
48252,3:21-cv-00624-bbc                       ,bbc ,2021-10-05,,2022-04-05,550,42:1983pr ,,,y,2021-10-05,Prisoner Petitions
48253,3:21-cv-00625-wmc                       ,wmc ,2021-10-05,,2022-07-20,440,42:1983cv ,,,n,2021-10-05,Civil Rights
48255,3:21-cv-00627-wmc                       ,wmc ,2021-10-05,,2022-04-15,530,28:2254   ,,,y,2021-10-05,Habeas Corpus
48263,3:21-cv-00629-bbc                       ,bbc ,2021-10-06,,2021-11-12,550,42:1983pr ,,,y,2021-10-06,Prisoner Petitions
48264,3:21-cv-00630-wmc                       ,wmc ,2021-10-06,,2022-10-04,440,42:1983cv ,,,n,2021-10-06,Civil Rights
48265,3:21-cv-00631-wmc                       ,wmc ,2021-10-06,,,530,28:2254   ,,,y,2021-10-06,Habeas Corpus
48273,3:21-cv-00635-wmc                       ,wmc ,2021-10-06,,,440,42:1983cv ,,,y,2021-10-06,Civil Rights
48270,3:21-cv-00632-wmc                       ,wmc ,2021-10-07,,2022-10-19,625,21:0881au ,,,n,2021-10-07,Forfeiture/Penalty 
48271,3:21-cv-00633-jdp                       ,jdp ,2021-10-07,,2022-07-14,510,28:2255   ,,,y,2021-10-07,Habeas Corpus
48272,3:21-cv-00634-wmc                       ,wmc ,2021-10-08,,,440,28:1331   ,,,n,2021-10-08,Civil Rights
48274,3:21-cv-00636-jdp                       ,jdp ,2021-10-08,,,550,42:1983pr ,,,y,2021-10-08,Prisoner Petitions
