Case ID,Case Number,Judge,Date Filed,Date Reopened,Date Terminated,NOS,DateAgg,Group,DE SeqNum,de_type,DocNum,DP Type,DP SubType,DP SeqNum,Date Filed
41346,3:18-cv-00127-wmc                       ,wmc,2018-02-22,,2020-01-07,550,2018-02-22,Prisoner Petitions,11,cmp                      ,1,cmp                      ,cmp     ,12,2018-02-22
41349,3:18-cv-00129-jdp                       ,jdp,2018-02-22,,2018-06-19,445,2018-02-22,Civil Rights,7,cmp                      ,1,cmp                      ,cmp     ,8,2018-02-22
41357,3:18-cv-00131-wmc                       ,wmc,2018-02-22,,2019-04-15,555,2018-02-22,Prisoner Petitions,16,cmp                      ,1,cmp                      ,cmp     ,17,2018-02-22
41363,3:18-cv-00130-jdp                       ,jdp,2018-02-22,,2020-03-26,555,2018-02-22,Prisoner Petitions,15,cmp                      ,1,cmp                      ,cmp     ,16,2018-02-22
41361,3:18-cv-00134-wmc                       ,wmc,2018-02-23,,2020-02-06,555,2018-02-23,Prisoner Petitions,12,cmp                      ,1,cmp                      ,cmp     ,13,2018-02-23
41367,3:18-cv-00136-jdp                       ,jdp,2018-02-26,,2018-12-14,864,2018-02-26,Social Security,7,cmp                      ,1,cmp                      ,cmp     ,8,2018-02-26
41368,3:18-cv-00138-wmc                       ,wmc,2018-02-27,,2023-01-05,550,2018-02-27,Prisoner Petitions,15,cmp                      ,1,cmp                      ,cmp     ,16,2018-02-27
41376,3:18-cv-00142-wmc                       ,wmc,2018-02-28,2023-01-18,,555,2023-01-18,Prisoner Petitions,14,cmp                      ,1,cmp                      ,cmp     ,15,2018-02-28
41392,3:18-cv-00148-bbc                       ,bbc,2018-03-02,,2019-04-18,895,2018-03-02,Other Statutes,7,cmp                      ,1,cmp                      ,cmp     ,8,2018-03-02
41394,3:18-cv-00152-wmc                       ,wmc,2018-03-05,,2021-07-20,555,2018-03-05,Prisoner Petitions,12,cmp                      ,1,cmp                      ,cmp     ,13,2018-03-05
41423,3:18-cv-00160-jdp                       ,jdp,2018-03-08,,2018-12-12,550,2018-03-08,Prisoner Petitions,10,cmp                      ,1,cmp                      ,cmp     ,11,2018-03-08
41424,3:18-cv-00161-jdp                       ,jdp,2018-03-08,,2018-08-27,555,2018-03-08,Prisoner Petitions,8,cmp                      ,1,cmp                      ,cmp     ,9,2018-03-08
41425,3:18-cv-00162-jdp                       ,jdp,2018-03-08,,2018-12-12,555,2018-03-08,Prisoner Petitions,11,cmp                      ,1,cmp                      ,cmp     ,12,2018-03-08
41441,3:18-cv-00176-wmc                       ,wmc,2018-03-12,,2020-01-07,550,2018-03-12,Prisoner Petitions,12,cmp                      ,1,cmp                      ,cmp     ,13,2018-03-12
41443,3:18-cv-00171-jdp                       ,jdp,2018-03-12,,2018-08-20,865,2018-03-12,Social Security,7,cmp                      ,1,cmp                      ,cmp     ,8,2018-03-12
41444,3:18-cv-00172-bbc                       ,bbc,2018-03-12,,2018-04-12,555,2018-03-12,Prisoner Petitions,7,cmp                      ,1,cmp                      ,cmp     ,8,2018-03-12
41453,3:18-cv-00180-jdp                       ,jdp,2018-03-13,,2018-06-05,540,2018-03-13,Prisoner Petitions,5,cmp                      ,1,cmp                      ,cmp     ,6,2018-03-13
