Case ID,Case Number,Judge,Date Filed,Date Reopened,Date Terminated,NOS,Cause of Action,Diversity Plaintiff,Diversity Defendant,IsProse,DateAgg,Group
41542,3:18-cv-00224-jdp                       ,jdp ,2018-03-29,,2019-02-15,555,42:1983pr ,,,y,2018-03-29,Prisoner Petitions
41544,3:18-cv-00227-wmc                       ,wmc ,2018-03-30,,2019-01-04,555,42:1983pr ,,,y,2018-03-30,Prisoner Petitions
41545,3:18-cv-00226-bbc                       ,bbc ,2018-03-30,,2018-06-01,445,42:12101  ,,,y,2018-03-30,Civil Rights
41549,3:18-cv-00232-bbc                       ,bbc ,2018-04-02,,2018-05-02,550,28:1331b  ,,,y,2018-04-02,Prisoner Petitions
41550,3:18-cv-00231-jdp                       ,jdp ,2018-04-02,,2019-02-21,440,42:1983cv ,,,y,2018-04-02,Civil Rights
41553,3:18-cv-00234-jdp                       ,jdp ,2018-04-02,,2018-04-23,530,28:1331b  ,,,y,2018-04-02,Habeas Corpus
41559,3:18-cv-00235-wmc                       ,wmc ,2018-04-04,,2019-09-25,791,29:1001   ,,,y,2018-04-04,Labor
41575,3:18-cv-00240-wmc                       ,wmc ,2018-04-06,,2019-05-29,550,42:1983pr ,,,y,2018-04-06,Prisoner Petitions
41581,3:18-cv-00239-bbc                       ,bbc ,2018-04-06,,2018-07-09,530,28:1331b  ,,,y,2018-04-06,Habeas Corpus
41585,3:18-cv-00246-wmc                       ,wmc ,2018-04-09,,2018-10-12,555,42:1983pr ,,,y,2018-04-09,Prisoner Petitions
41586,3:18-cv-00242-jdp                       ,jdp ,2018-04-09,,2018-04-16,530,28:2254   ,,,y,2018-04-09,Habeas Corpus
41596,3:18-cv-00249-wmc                       ,wmc ,2018-04-11,2020-09-08,2021-04-20,555,42:1983pr ,,,y,2020-09-08,Prisoner Petitions
41596,3:18-cv-00249-wmc                       ,wmc ,2018-04-11,2020-09-08,2021-04-20,555,42:1983pr ,,,y,2020-09-08,Prisoner Petitions
41598,3:18-cv-00250-wmc                       ,wmc ,2018-04-11,,2020-12-02,550,42:1983pr ,,,y,2018-04-11,Prisoner Petitions
41600,3:18-cv-00253-wmc                       ,wmc ,2018-04-12,,2020-02-04,555,42:1983pr ,,,y,2018-04-12,Prisoner Petitions
41602,3:18-cv-00255-bbc                       ,bbc ,2018-04-12,,2018-04-18,555,42:1983pr ,,,y,2018-04-12,Prisoner Petitions
41603,3:18-cv-00256-jdp                       ,jdp ,2018-04-12,,2019-05-23,510,28:2255   ,,,y,2018-04-12,Habeas Corpus
41607,3:18-cv-00259-wmc                       ,wmc ,2018-04-13,,2019-10-09,555,42:1983pr ,,,y,2018-04-13,Prisoner Petitions
41620,3:18-cv-00267-wmc                       ,wmc ,2018-04-16,,2019-09-26,550,42:1983pr ,,,y,2018-04-16,Prisoner Petitions
41621,3:18-cv-00268-bbc                       ,bbc ,2018-04-16,,2018-05-31,550,42:1983pr ,,,y,2018-04-16,Prisoner Petitions
41631,3:18-cv-00276-jdp                       ,jdp ,2018-04-18,,2018-04-27,440,42:1983cv ,,,y,2018-04-18,Civil Rights
41635,3:18-cv-00275-bbc                       ,bbc ,2018-04-18,,2018-05-16,530,28:2254   ,,,y,2018-04-18,Habeas Corpus
41636,3:18-cv-00278-bbc                       ,bbc ,2018-04-18,,2018-10-23,510,28:2255   ,,,y,2018-04-18,Habeas Corpus
41643,3:18-cv-00277-slc                       ,slc ,2018-04-18,,2020-09-08,550,42:1983pr ,,,y,2018-04-18,Prisoner Petitions
41648,3:18-cv-00282-wmc                       ,wmc ,2018-04-19,,2018-09-19,550,42:1983pr ,,,y,2018-04-19,Prisoner Petitions
41651,3:18-cv-00281-bbc                       ,bbc ,2018-04-19,,2018-07-16,440,42:1983cv ,,,y,2018-04-19,Civil Rights
41669,3:18-cv-00289-jdp                       ,jdp ,2018-04-20,,2019-10-31,550,42:1983pr ,,,y,2018-04-20,Prisoner Petitions
41678,3:18-cv-00295-jdp                       ,jdp ,2018-04-23,,2018-05-01,510,28:2255   ,,,y,2018-04-23,Habeas Corpus
41679,3:18-cv-00296-jdp                       ,jdp ,2018-04-23,,2018-05-21,550,42:1983pr ,,,y,2018-04-23,Prisoner Petitions
41695,3:18-cv-00302-wmc                       ,wmc ,2018-04-25,,2021-11-03,550,42:1983pr ,,,y,2018-04-25,Prisoner Petitions
41696,3:18-cv-00303-wmc                       ,wmc ,2018-04-25,,2020-09-18,550,42:1983pr ,,,y,2018-04-25,Prisoner Petitions
41697,3:18-cv-00304-wmc                       ,wmc ,2018-04-25,2019-12-02,2021-07-02,550,42:1983pr ,,,y,2019-12-02,Prisoner Petitions
41697,3:18-cv-00304-wmc                       ,wmc ,2018-04-25,2019-12-02,2021-07-02,550,42:1983pr ,,,y,2019-12-02,Prisoner Petitions
41709,3:18-cv-00308-bbc                       ,bbc ,2018-04-27,,2018-05-17,446,42:1981cv ,,,y,2018-04-27,Civil Rights
41720,3:18-cv-00313-jdp                       ,jdp ,2018-04-30,,2019-03-05,555,42:1983pr ,,,y,2018-04-30,Prisoner Petitions
41726,3:18-cv-00316-wmc                       ,wmc ,2018-05-01,,2020-07-16,555,42:1983pr ,,,y,2018-05-01,Prisoner Petitions
41730,3:18-cv-00318-wmc                       ,wmc ,2018-05-02,,2019-04-24,830,35:0271   ,,,y,2018-05-02,Property Rights
41731,3:18-cv-00319-wmc                       ,wmc ,2018-05-02,,2019-05-14,550,42:1983pr ,,,y,2018-05-02,Prisoner Petitions
41736,3:18-cv-00320-bbc                       ,bbc ,2018-05-03,,2018-06-27,442,42:2000e  ,,,y,2018-05-03,Civil Rights
41737,3:18-cv-00321-wmc                       ,wmc ,2018-05-03,,2021-10-21,440,28:1983   ,,,y,2018-05-03,Civil Rights
41738,3:18-cv-00322-jdp                       ,jdp ,2018-05-03,,2019-03-05,555,42:1983pr ,,,y,2018-05-03,Prisoner Petitions
41747,3:18-cv-00326-slc                       ,slc ,2018-05-04,,2019-03-20,864,42:0405id ,,,y,2018-05-04,Social Security
41755,3:18-cv-00328-wmc                       ,wmc ,2018-05-04,,2018-05-07,555,42:1983cv ,,,y,2018-05-04,Prisoner Petitions
41754,3:18-cv-00331-jdp                       ,jdp ,2018-05-07,,2019-04-23,550,42:1983pr ,,,y,2018-05-07,Prisoner Petitions
41756,3:18-cv-00332-wmc                       ,wmc ,2018-05-07,,2022-07-28,550,42:1983pr ,,,y,2018-05-07,Prisoner Petitions
41757,3:18-cv-00334-jdp                       ,jdp ,2018-05-07,,2018-06-22,530,28:2254   ,,,y,2018-05-07,Habeas Corpus
41758,3:18-cv-00333-jdp                       ,jdp ,2018-05-07,,2019-11-25,555,42:1983pr ,,,y,2018-05-07,Prisoner Petitions
41764,3:18-cv-00340-jdp                       ,jdp ,2018-05-08,,2019-06-04,555,42:1983pr ,,,y,2018-05-08,Prisoner Petitions
41765,3:18-cv-00341-wmc                       ,wmc ,2018-05-08,,2022-11-07,555,42:1983pr ,,,y,2018-05-08,Prisoner Petitions
41769,3:18-cv-00343-wmc                       ,wmc ,2018-05-09,,2018-06-20,550,42:1983pr ,,,y,2018-05-09,Prisoner Petitions
41798,3:18-cv-00347-jdp                       ,jdp ,2018-05-10,,2019-01-24,440,42:1983cv ,,,y,2018-05-10,Civil Rights
41802,3:18-cv-00348-wmc                       ,wmc ,2018-05-11,,2018-06-11,550,42:1983pr ,,,y,2018-05-11,Prisoner Petitions
41807,3:18-cv-00350-wmc                       ,wmc ,2018-05-14,,2020-10-01,555,42:1983pr ,,,y,2018-05-14,Prisoner Petitions
41808,3:18-cv-00351-jdp                       ,jdp ,2018-05-14,,2018-07-16,440,42:1983cv ,,,y,2018-05-14,Civil Rights
41810,3:18-cv-00352-bbc                       ,bbc ,2018-05-14,,2018-07-09,550,42:1983pr ,,,y,2018-05-14,Prisoner Petitions
41809,3:18-cv-00353-bbc                       ,bbc ,2018-05-14,,2018-06-07,440,42:1983cv ,,,y,2018-05-14,Civil Rights
41818,3:18-cv-00355-jdp                       ,jdp ,2018-05-14,,2018-06-19,530,28:2241   ,,,y,2018-05-14,Habeas Corpus
41816,3:18-cv-00356-wmc                       ,wmc ,2018-05-15,,2018-06-11,555,42:1983pr ,,,y,2018-05-15,Prisoner Petitions
41821,3:18-cv-00360-slc                       ,slc ,2018-05-15,,2022-03-28,555,42:1983pr ,,,y,2018-05-15,Prisoner Petitions
41828,3:18-cv-00362-jdp                       ,jdp ,2018-05-16,,2019-01-15,555,42:1983pr ,,,y,2018-05-16,Prisoner Petitions
41832,3:18-cv-00370-jdp                       ,jdp ,2018-05-17,,2019-12-06,555,42:1983pr ,,,y,2018-05-17,Prisoner Petitions
41834,3:18-cv-00372-wmc                       ,wmc ,2018-05-17,,2018-11-26,555,42:1983pr ,,,y,2018-05-17,Prisoner Petitions
41835,3:18-cv-00373-bbc                       ,bbc ,2018-05-17,,2018-10-03,555,28:1331   ,,,y,2018-05-17,Prisoner Petitions
41836,3:18-cv-00374-bbc                       ,bbc ,2018-05-17,,2018-07-16,555,42:1983pr ,,,y,2018-05-17,Prisoner Petitions
41838,3:18-cv-00368-jdp                       ,jdp ,2018-05-17,,2020-11-12,440,42:1983cv ,,,y,2018-05-17,Civil Rights
41850,3:18-cv-00381-wmc                       ,wmc ,2018-05-18,2018-07-20,2021-11-19,555,42:1983pr ,,,y,2018-07-20,Prisoner Petitions
41850,3:18-cv-00381-wmc                       ,wmc ,2018-05-18,2018-07-20,2021-11-19,555,42:1983pr ,,,y,2018-07-20,Prisoner Petitions
41851,3:18-cv-00382-wmc                       ,wmc ,2018-05-18,,2019-05-14,550,42:1983pr ,,,y,2018-05-18,Prisoner Petitions
41852,3:18-cv-00383-wmc                       ,wmc ,2018-05-18,,2021-10-05,530,28:2241   ,,,y,2018-05-18,Habeas Corpus
41849,3:18-cv-00385-jdp                       ,jdp ,2018-05-21,,2019-12-10,550,42:1983pr ,,,y,2018-05-21,Prisoner Petitions
41853,3:18-cv-00386-jdp                       ,jdp ,2018-05-21,,2019-08-23,550,42:1983pr ,,,y,2018-05-21,Prisoner Petitions
41854,3:18-cv-00387-wmc                       ,wmc ,2018-05-21,,2018-07-09,555,42:1983pr ,,,y,2018-05-21,Prisoner Petitions
41861,3:18-cv-00389-wmc                       ,wmc ,2018-05-21,,2021-07-09,555,42:1983pr ,,,y,2018-05-21,Prisoner Petitions
41864,3:18-cv-00393-bbc                       ,bbc ,2018-05-22,,2018-11-26,555,42:1983pr ,,,y,2018-05-22,Prisoner Petitions
