de_caseid,de_seqno,de_type,de_document_num,dp_type,dp_sub_type,dp_seqno,de_date_filed,de_date_enter,de_who_entered,initials,name,pr_type,pr_crttype
48729,23,oth_ord                  ,,motion                   ,dummyscr,24,2022-03-03,2022-03-03T16:08:38,1518391,kmd ,Kim Davis,crt,clk
48898,25,oth_ord                  ,,motion                   ,dummyscr,26,2022-03-07,2022-03-07T15:57:32,1446149,aom ,Amos Malone,crt,clk
48977,27,oth_ord                  ,,motion                   ,dummyscr,28,2022-03-17,2022-03-17T12:23:05,1446149,aom ,Amos Malone,crt,clk
48996,22,oth_ord                  ,,motion                   ,dummyscr,23,2022-03-22,2022-03-22T11:34:40,1446149,aom ,Amos Malone,crt,clk
49072,24,oth_ord                  ,,motion                   ,dummyscr,25,2022-04-22,2022-04-22T14:03:37,24419,jef ,Joanne Friedl,crt,clk
49160,21,oth_ord                  ,,motion                   ,dummyscr,22,2022-04-28,2022-04-28T16:05:55,1446149,aom ,Amos Malone,crt,clk
49096,40,oth_ord                  ,,motion                   ,dummyscr,41,2022-05-18,2022-05-18T10:01:54,1489502,lam ,Laura Miller,crt,clk
49274,27,oth_ord                  ,,motion                   ,dummyscr,28,2022-05-24,2022-05-24T09:14:48,1446149,aom ,Amos Malone,crt,clk
49282,28,oth_ord                  ,,motion                   ,dummyscr,29,2022-05-24,2022-05-24T09:28:54,1446149,aom ,Amos Malone,crt,clk
49290,29,oth_ord                  ,,motion                   ,dummyscr,30,2022-06-10,2022-06-10T15:48:18,24419,jef ,Joanne Friedl,crt,clk
49101,154,oth_ord                  ,,motion                   ,dummyscr,155,2022-05-23,2022-06-21T16:52:37,24419,jef ,Joanne Friedl,crt,clk
